id,time,line_ref,vehicle_id,number_plate,journey_id,direction,origin,destination,origin_est_departure,destination_est_arrival,latitude,longitude,bearing
1875,2024-10-06 12:35:54.000,51,11922,SN69ZNO,1200,outbound,Transport_Interchange,Edinburgh_Bus_Station__Stance_8,2024-10-06 11:00:00.000,2024-10-06 13:22:00.000,55.892145,-3.066253,272
1876,2024-10-06 12:36:04.000,51,11702,YJ17FWS,1150,inbound,Edinburgh_Bus_Station__Stance_8,Transport_Interchange,2024-10-06 10:50:00.000,2024-10-06 12:57:00.000,55.597648,-2.711415,242
1877,2024-10-06 12:36:07.000,X62,11801,YX67UZB,1330,outbound,Transport_Interchange,Edinburgh_Bus_Station__Stance_10,2024-10-06 12:30:00.000,2024-10-06 14:30:00.000,55.614681,-2.807086,311
1878,2024-10-06 12:35:49.000,X62,12209,YX72OML,1155,inbound,Edinburgh_Bus_Station__Stance_10,Transport_Interchange,2024-10-06 10:55:00.000,2024-10-06 12:55:00.000,55.620750,-3.059251,50
1879,2024-10-06 12:36:04.000,51,11702,YJ17FWS,1150,inbound,Edinburgh_Bus_Station__Stance_8,Transport_Interchange,2024-10-06 10:50:00.000,2024-10-06 12:57:00.000,55.597648,-2.711415,242
1880,2024-10-06 12:36:25.000,X62,11901,SK19ELV,1230,outbound,Transport_Interchange,Edinburgh_Bus_Station__Stance_10,2024-10-06 11:30:00.000,2024-10-06 13:30:00.000,55.775971,-3.216365,296
1881,2024-10-06 12:36:18.000,X62,11619,YN66BBV,1355,inbound,Edinburgh_Bus_Station__Stance_10,Transport_Interchange,2024-10-06 12:55:00.000,2024-10-06 14:55:00.000,55.956823,-3.187398,17
1882,2024-10-06 12:36:20.000,X62,11801,YX67UZB,1330,outbound,Transport_Interchange,Edinburgh_Bus_Station__Stance_10,2024-10-06 12:30:00.000,2024-10-06 14:30:00.000,55.615440,-2.807715,318
1883,2024-10-06 12:36:24.000,X62,12210,YX72OMK,1255,inbound,Edinburgh_Bus_Station__Stance_10,Transport_Interchange,2024-10-06 11:55:00.000,2024-10-06 13:55:00.000,55.878806,-3.170995,220
1884,2024-10-06 12:36:30.000,51,11922,SN69ZNO,1200,outbound,Transport_Interchange,Edinburgh_Bus_Station__Stance_8,2024-10-06 11:00:00.000,2024-10-06 13:22:00.000,55.892380,-3.067228,300
1885,2024-10-06 12:36:28.000,51,11702,YJ17FWS,1150,inbound,Edinburgh_Bus_Station__Stance_8,Transport_Interchange,2024-10-06 10:50:00.000,2024-10-06 12:57:00.000,55.597113,-2.714593,245
1886,2024-10-06 12:36:25.000,X62,11901,SK19ELV,1230,outbound,Transport_Interchange,Edinburgh_Bus_Station__Stance_10,2024-10-06 11:30:00.000,2024-10-06 13:30:00.000,55.775971,-3.216365,296
1887,2024-10-06 12:36:37.000,X62,11619,YN66BBV,1355,inbound,Edinburgh_Bus_Station__Stance_10,Transport_Interchange,2024-10-06 12:55:00.000,2024-10-06 14:55:00.000,55.956796,-3.188433,260
1888,2024-10-06 12:36:20.000,X62,11801,YX67UZB,1330,outbound,Transport_Interchange,Edinburgh_Bus_Station__Stance_10,2024-10-06 12:30:00.000,2024-10-06 14:30:00.000,55.615440,-2.807715,318
1889,2024-10-06 12:36:24.000,X62,12210,YX72OMK,1255,inbound,Edinburgh_Bus_Station__Stance_10,Transport_Interchange,2024-10-06 11:55:00.000,2024-10-06 13:55:00.000,55.878806,-3.170995,220
1890,2024-10-06 12:36:44.000,X62,11901,SK19ELV,1230,outbound,Transport_Interchange,Edinburgh_Bus_Station__Stance_10,2024-10-06 11:30:00.000,2024-10-06 13:30:00.000,55.778391,-3.219055,351
1891,2024-10-06 12:36:37.000,X62,11619,YN66BBV,1355,inbound,Edinburgh_Bus_Station__Stance_10,Transport_Interchange,2024-10-06 12:55:00.000,2024-10-06 14:55:00.000,55.956796,-3.188433,260
1892,2024-10-06 12:36:43.000,X62,12210,YX72OMK,1255,inbound,Edinburgh_Bus_Station__Stance_10,Transport_Interchange,2024-10-06 11:55:00.000,2024-10-06 13:55:00.000,55.878786,-3.171038,NULL
1893,2024-10-06 12:36:50.000,X62,12209,YX72OML,1155,inbound,Edinburgh_Bus_Station__Stance_10,Transport_Interchange,2024-10-06 10:55:00.000,2024-10-06 12:55:00.000,55.624800,-3.047696,69
1894,2024-10-06 12:36:55.000,51,11922,SN69ZNO,1200,outbound,Transport_Interchange,Edinburgh_Bus_Station__Stance_8,2024-10-06 11:00:00.000,2024-10-06 13:22:00.000,55.893385,-3.069470,320
1895,2024-10-06 12:37:01.000,51,11702,YJ17FWS,1150,inbound,Edinburgh_Bus_Station__Stance_8,Transport_Interchange,2024-10-06 10:50:00.000,2024-10-06 12:57:00.000,55.597290,-2.719516,287
1896,2024-10-06 12:36:51.000,X62,12210,YX72OMK,1255,inbound,Edinburgh_Bus_Station__Stance_10,Transport_Interchange,2024-10-06 11:55:00.000,2024-10-06 13:55:00.000,55.878770,-3.171061,NULL
1897,2024-10-06 12:36:50.000,X62,12209,YX72OML,1155,inbound,Edinburgh_Bus_Station__Stance_10,Transport_Interchange,2024-10-06 10:55:00.000,2024-10-06 12:55:00.000,55.624800,-3.047696,69
1898,2024-10-06 12:37:15.000,51,11922,SN69ZNO,1200,outbound,Transport_Interchange,Edinburgh_Bus_Station__Stance_8,2024-10-06 11:00:00.000,2024-10-06 13:22:00.000,55.893573,-3.069708,339
1899,2024-10-06 12:37:06.000,51,11702,YJ17FWS,1150,inbound,Edinburgh_Bus_Station__Stance_8,Transport_Interchange,2024-10-06 10:50:00.000,2024-10-06 12:57:00.000,55.597410,-2.719830,313
1900,2024-10-06 12:37:21.000,X62,11801,YX67UZB,1330,outbound,Transport_Interchange,Edinburgh_Bus_Station__Stance_10,2024-10-06 12:30:00.000,2024-10-06 14:30:00.000,55.617661,-2.810523,324
1901,2024-10-06 12:37:37.000,51,11922,SN69ZNO,1200,outbound,Transport_Interchange,Edinburgh_Bus_Station__Stance_8,2024-10-06 11:00:00.000,2024-10-06 13:22:00.000,55.893886,-3.069808,339
1902,2024-10-06 12:37:39.000,X62,11901,SK19ELV,1230,outbound,Transport_Interchange,Edinburgh_Bus_Station__Stance_10,2024-10-06 11:30:00.000,2024-10-06 13:30:00.000,55.786678,-3.221863,358
1903,2024-10-06 12:37:40.000,X62,11619,YN66BBV,1355,inbound,Edinburgh_Bus_Station__Stance_10,Transport_Interchange,2024-10-06 12:55:00.000,2024-10-06 14:55:00.000,55.956366,-3.190435,260
1904,2024-10-06 12:37:21.000,X62,11801,YX67UZB,1330,outbound,Transport_Interchange,Edinburgh_Bus_Station__Stance_10,2024-10-06 12:30:00.000,2024-10-06 14:30:00.000,55.617661,-2.810523,324
1905,2024-10-06 12:37:23.000,X62,12210,YX72OMK,1255,inbound,Edinburgh_Bus_Station__Stance_10,Transport_Interchange,2024-10-06 11:55:00.000,2024-10-06 13:55:00.000,55.878020,-3.171781,203
1906,2024-10-06 12:38:13.000,51,11922,SN69ZNO,1200,outbound,Transport_Interchange,Edinburgh_Bus_Station__Stance_8,2024-10-06 11:00:00.000,2024-10-06 13:22:00.000,55.894545,-3.069576,59
