stop_id,stop_name,stop_type,coordinates
6200208410,North Bridge,bus,"[-3.188241, 55.951791]"
6200208420,North Bridge,bus,"[-3.187983, 55.951209]"
6200208440,South Bridge,bus,"[-3.186588, 55.948527]"
6200208470,Surgeons' Hall,bus,"[-3.184362, 55.945385]"
6200208540,St Patrick Square,bus,"[-3.182549, 55.942644]"
6200208660,Salisbury Place,bus,"[-3.177546, 55.937112]"
6200208690,East Savile Road,bus,"[-3.170965, 55.930687]"
6200209020,Lady Road,bus,"[-3.166548, 55.925913]"
6200209070,Liberton Cemetery,bus,"[-3.163539, 55.913092]"
6200209130,Kaimes Crossroads,bus,"[-3.163722, 55.901041]"
6200239470,Kaimes Crossroads,bus,"[-3.16398, 55.90112]"
6200239480,Mortonhall Crematorium,bus,"[-3.166035, 55.903526]"
6200239540,Liberton Cemetery,bus,"[-3.164256, 55.913544]"
6200239585,Lady Road,bus,"[-3.166821, 55.925947]"
6200239910,East Savile Road,bus,"[-3.171369, 55.930809]"
6200239950,Newington Road,bus,"[-3.178333, 55.937707]"
6200240060,St Patrick Square,bus,"[-3.183305, 55.943284]"
6200240120,Surgeons' Hall,bus,"[-3.184901, 55.94574]"
6200600748,Bus Station,bus,"[-3.191636, 55.955415]"
6280301970,Nivensknowe Park,bus,"[-3.1738, 55.875175]"
6280301976,Asda Straiton,bus,"[-3.170716, 55.878906]"
6280301980,Seafield Road,bus,"[-3.176972, 55.871173]"
6280301990,Roslin Road,bus,"[-3.178002, 55.869842]"
6280302000,Moorfoot View,bus,"[-3.180155, 55.867063]"
6280302010,Ploverhall Cottages,bus,"[-3.183131, 55.862964]"
6280302100,Bush Access,bus,"[-3.186048, 55.85856]"
6280302140,Milton Cottages,bus,"[-3.190564, 55.852622]"
6280302150,Golf Club,bus,"[-3.199243, 55.849689]"
6280302160,Glencorse Barracks,bus,"[-3.203638, 55.846142]"
6280302165,Samoa Terrace,bus,"[-3.206969, 55.84335]"
6280302170,Beeslack High School,bus,"[-3.213441, 55.840393]"
6280302280,Mauricewood Road,bus,"[-3.21673, 55.838842]"
6280302440,Queensway,bus,"[-3.220243, 55.835779]"
6280302450,Cuiken Avenue,bus,"[-3.222436, 55.833421]"
6280302470,Wilson Street,bus,"[-3.223004, 55.829138]"
6280302490,Town Centre,bus,"[-3.221611, 55.827993]"
6280302495,Town Centre,bus,"[-3.221163, 55.827944]"
6280302560,Lambs Pend,bus,"[-3.221709, 55.82617]"
6280302570,Pomathorn Road,bus,"[-3.220621, 55.82289]"
6280302580,Wellington School,bus,"[-3.222151, 55.797347]"
6280302590,Leadburn Inn,bus,"[-3.221543, 55.787603]"
6280309180,Loanhead Road,bus,"[-3.163559, 55.887591]"
6280309195,Straiton Cottages,bus,"[-3.166271, 55.884205]"
6280325080,Leadburn Inn,bus,"[-3.221916, 55.7868]"
6280325090,Wellington School,bus,"[-3.222834, 55.798283]"
6280325100,Pomathorn Road,bus,"[-3.221835, 55.823921]"
6280325110,Lambs Pend,bus,"[-3.221749, 55.826246]"
6280325170,Town Centre,bus,"[-3.221475, 55.827734]"
6280325180,Wilson Street,bus,"[-3.222985, 55.828537]"
6280325190,John Street Lane,bus,"[-3.223965, 55.830243]"
6280325200,Angle Park,bus,"[-3.22422, 55.831256]"
6280325210,Cuiken Avenue,bus,"[-3.222542, 55.833744]"
6280325300,Queensway,bus,"[-3.220133, 55.836347]"
6280325490,Mauricewood Road,bus,"[-3.216406, 55.839205]"
6280325500,Beeslack High School,bus,"[-3.212539, 55.841184]"
6280325505,Samoa Terrace,bus,"[-3.209126, 55.842853]"
6280325510,Glencorse Barracks,bus,"[-3.204177, 55.846002]"
6280325530,Milton Cottages,bus,"[-3.192933, 55.851745]"
6280325560,Bush Access,bus,"[-3.186442, 55.858359]"
6280325680,Ploverhall Cottages,bus,"[-3.182952, 55.863918]"
6280325685,Castlelaw Crescent,bus,"[-3.181341, 55.866099]"
6280325690,Moorfoot View,bus,"[-3.178998, 55.868943]"
6280325700,Roslin Road,bus,"[-3.178264, 55.870028]"
